category,goods_name,jpPrice,jporgPrice,referencePrice
化妝品,MSH LoveLiner 液体眼线笔 黑色 0.55ml,"1,800JPY","1,800JPY",(約91.98CNY)
化妝品,花王 Curél 保濕身體乳霜 90g,"1,760JPY","1,760JPY",(約89.94CNY)
化妝品,SK-II/SK2提亮肤色补水修护滋养净白小灯泡美白精华面部精华50ml,"24,500JPY","24,500JPY","(約1,251.95CNY)"
化妝品,樂敦CC 淡斑高級精華液 20ml,"1,630JPY","1,630JPY",(約83.29CNY)
化妝品,KAO花王Liese泡沫染发剂纯植物天然泡泡自己在家染发膏【英国灰咖色】(黑发用)108g,830JPY,830JPY,(約42.41CNY)
化妝品,悠斯晶 yuskin 滋潤保濕護手霜 40g,498JPY,583JPY,(約25.45CNY)
化妝品,REVITAL 莉薇特麗 全效化妝水EX I,"6,600JPY","6,600JPY",(約337.26CNY)
化妝品,CLEAR TURN WHITE 膠原蛋白水潤面膜 5片,775JPY,775JPY,(約39.6CNY)
化妝品,Deonatulle 男用柔軟制汗消臭石W,"1,177JPY","1,177JPY",(約60.14CNY)
化妝品,LITS 植物幹細胞精華面膜 1次份,450JPY,498JPY,(約23CNY)
化妝品,KAO花王SOFINA苏菲娜Primavista隐形毛孔妆前修饰乳超值套装25ml*2支,"4,360JPY","4,360JPY",(約222.8CNY)
化妝品,ANGFA SCALP-D 昂法女士天然有机洗发水 350ml+护发素 350ml 加送3包one day试用特惠套装,"4,000JPY","4,000JPY",(約204.4CNY)
化妝品,溫和滋潤馬油凝霜 83g,"3,960JPY","3,960JPY",(約202.36CNY)
化妝品,KAO花王Liese泡沫染发剂纯植物天然泡泡自己在家染发膏【深巧克力棕】(黑发用)108g,830JPY,830JPY,(約42.41CNY)
化妝品,資生堂 尿素配方 保濕乳液 150ml,548JPY,598JPY,(約28CNY)
化妝品,HABA 藥用 WHITENING SQUALANE 美白角鯊精純液30ml,"3,940JPY","3,940JPY",(約201.33CNY)
化妝品,Bifesta 即淨保濕卸妝棉 濃妝即淨 40張,670JPY,670JPY,(約34.24CNY)
